104b8b8d.90,412279
107f7792.b1,670877
1128c6e2.m,110238
130651b4.52,70829
143d25de.8c,656013
14ceb7f0.80,912251
151dcfe8.7t,620397
1600eb7b.53,12050
1629fb47.4t,447462
1635aed1.8y,755854
16862508.6t,719349
16894b87.5v,433093
16d67106.5c,752403
16e954fe.au,160251
1745e0f7.2g,996315
178bf360.6s,480826
197682aa.8x,535880
199d26dc.20,134363
1b67304c.99,80752
1bf0a7e0.1d,222958
1c9d0199.9t,280195
1cee45cd.7b,400898
1cef04d6.4s,670342
1d3fc3d4.21,543346
1dbdeed6.75,390740
1ddb0fda.1,1258
1eb3d2e8.9m,476325
1f800b98.5f,225181
2004727c.5y,323197
201d7699.4p,869518
20710318.5e,870206
2090851c.5r,204803
20f4230b.1z,795282
21116f31.k,571327
21141391.7z,341983
21332caa.as,423201
21cefac1.7,897501
23447917.89,64272
24393d89.ae,911680
245812c2.4d,906472
255889a0.77,204893
25b747d5.7s,371103
263f5d5a.3k,946469
269850d6.5k,202625
272cfe33.am,475841
2737461d.32,621842
274dd5e7.3h,219267
27d8f4bb.1j,437798
27e930b4.72,587857
2827ee97.1u,161102
28c3bff8.7y,668372
28f8f462.p,567885
29ace325.a8,961068
29f6803b.h,846628
2a2f3ab0.1r,831180
2ada2447.1x,561680
2b6696bf.5s,217168
2bcde889.5n,78711
2c8f6403.71,526908
2d984dad.1s,407316
2fb26fac.9g,269337
305301e7.8q,979736
308ecbf8.o,961273
30e3b5b1.68,270581
32436361.69,751407
3285f9fa.5j,495931
33e98198.2b,336926
35859c1a.9k,685793
388eaeea.41,944545
3b0d17c2.8e,699390
3e975132.30,437797
3f75b176.b,407952
3ff98449.7l,691192
3ffee833.8d,448323
402a693e.z,150441
40345878.63,390017
41608868.5o,403947
42a8c3b5.6q,25
4340f2fa.s,179548
434938cd.27,661885
43df16fe.av,305730
441cdd9c.70,927121
448cb5ff.g,948026
44c8208c.9z,438873
45281996.95,344596
457d8d54.ab,718536
45bfc74b.59,350719
45f73c6d.n,779037
46025283.3q,316721
46ecc24b.23,11235
46fa6d7e.3c,778082
4700e279.11,755595
471c5c6c.aa,779471
4761d602.8k,820406
47725b4b.9p,457208
479f6fe6.3p,798128
47a9896e.34,896944
